fecha_semana,codigo_dane,anio,semana_epi,casos_ira_total,edad_promedio,rezago_reporte_dias,periodo_pandemia,pct_regimen_contributivo,pct_regimen_especial_excepcion,pct_regimen_otros,pct_regimen_subsidiado
2018-08-20,05148,2018,34,1,0.0,5,False,1.0,0.0,0.0,0.0
2018-08-20,05660,2018,34,1,0.0,4,False,1.0,0.0,0.0,0.0
2018-08-20,05667,2018,34,1,0.0,6,False,0.0,0.0,0.0,1.0
2018-08-27,05001,2018,35,5,0.0,7,False,0.8,0.0,0.0,0.2
2018-08-27,05088,2018,35,1,0.0,9,False,1.0,0.0,0.0,0.0
2018-08-27,05172,2018,35,1,0.0,7,False,0.0,0.0,0.0,1.0
2018-08-27,05380,2018,35,1,0.0,10,False,0.0,0.0,0.0,1.0
2018-09-03,05001,2018,36,7,0.0,7,False,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.14285714285714285
2018-09-03,05660,2018,36,1,0.0,11,False,0.0,0.0,0.0,1.0
2018-09-10,05001,2018,37,11,0.0,8,False,0.5454545454545454,0.0,0.0,0.45454545454545453
2018-09-10,05088,2018,37,2,0.0,8,False,0.5,0.0,0.0,0.5
2018-09-10,05790,2018,37,1,0.0,6,False,0.0,0.0,0.0,1.0
2018-09-17,05001,2018,38,3,0.0,8,False,0.6666666666666666,0.0,0.0,0.3333333333333333
2018-09-17,05088,2018,38,1,0.0,6,False,1.0,0.0,0.0,0.0
2018-09-24,05001,2018,39,6,0.0,17,False,0.5,0.0,0.0,0.5
2018-09-24,05360,2018,39,1,0.0,8,False,1.0,0.0,0.0,0.0
2018-10-01,05001,2018,40,5,0.0,8,False,0.4,0.0,0.0,0.6
2018-10-01,05088,2018,40,1,0.0,6,False,0.0,0.0,1.0,0.0
2018-10-01,05107,2018,40,1,0.0,6,False,0.0,0.0,0.0,1.0
2018-10-01,05631,2018,40,1,0.0,5,False,1.0,0.0,0.0,0.0
2018-10-08,05001,2018,41,6,0.0,7,False,0.8333333333333334,0.0,0.0,0.16666666666666666
2018-10-08,05088,2018,41,4,0.0,6,False,0.75,0.0,0.0,0.25
2018-10-08,05234,2018,41,1,0.0,8,False,1.0,0.0,0.0,0.0
2018-10-08,05380,2018,41,1,0.0,7,False,1.0,0.0,0.0,0.0
2018-10-08,05483,2018,41,1,0.0,9,False,0.0,0.0,0.0,1.0
2018-10-08,05604,2018,41,1,0.0,9,False,0.0,0.0,0.0,1.0
2018-10-08,05656,2018,41,1,0.0,11,False,0.0,0.0,0.0,1.0
2018-10-08,05861,2018,41,1,0.0,8,False,0.0,0.0,1.0,0.0
2018-10-15,05001,2018,42,3,0.0,10,False,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
2018-10-22,05001,2018,43,7,0.0,3,False,0.5714285714285714,0.0,0.0,0.42857142857142855
2018-10-22,05120,2018,43,1,0.0,8,False,1.0,0.0,0.0,0.0
2018-10-22,05360,2018,43,1,0.0,7,False,1.0,0.0,0.0,0.0
2018-10-29,05001,2018,44,3,0.0,8,False,0.3333333333333333,0.0,0.0,0.6666666666666666
2018-10-29,05360,2018,44,1,0.0,5,False,0.0,0.0,0.0,1.0
2018-10-29,05761,2018,44,1,0.0,5,False,0.0,0.0,0.0,1.0
2018-11-05,05001,2018,45,8,0.0,7,False,0.25,0.125,0.0,0.625
2018-11-05,05120,2018,45,1,0.0,5,False,0.0,0.0,0.0,1.0
2018-11-05,05318,2018,45,1,0.0,10,False,1.0,0.0,0.0,0.0
2018-11-12,05001,2018,46,5,0.0,2,False,0.6,0.0,0.0,0.4
2018-11-12,05088,2018,46,1,0.0,7,False,0.0,0.0,0.0,1.0
2018-11-12,05101,2018,46,1,0.0,9,False,0.0,0.0,0.0,1.0
2018-11-12,05148,2018,46,1,0.0,8,False,1.0,0.0,0.0,0.0
2018-11-12,05490,2018,46,1,0.0,3,False,0.0,0.0,0.0,1.0
2018-11-12,05697,2018,46,1,0.0,12,False,0.0,0.0,0.0,1.0
2018-11-19,05001,2018,47,8,0.0,7,False,0.875,0.0,0.0,0.125
2018-11-19,05088,2018,47,2,0.0,3,False,0.5,0.0,0.0,0.5
2018-11-19,05129,2018,47,1,0.0,6,False,1.0,0.0,0.0,0.0
2018-11-19,05138,2018,47,1,0.0,9,False,0.0,0.0,0.0,1.0
2018-11-19,05318,2018,47,1,0.0,2,False,0.0,0.0,0.0,1.0
2018-11-19,05353,2018,47,1,0.0,2,False,0.0,0.0,0.0,1.0
2018-11-19,05360,2018,47,1,0.0,16,False,1.0,0.0,0.0,0.0
2018-11-19,05579,2018,47,1,0.0,7,False,1.0,0.0,0.0,0.0
2018-11-19,05631,2018,47,1,0.0,5,False,1.0,0.0,0.0,0.0
2018-11-26,05001,2018,48,9,0.0,7,False,0.5555555555555556,0.0,0.1111111111111111,0.3333333333333333
2018-11-26,05088,2018,48,1,0.0,8,False,1.0,0.0,0.0,0.0
2018-11-26,05212,2018,48,1,0.0,2,False,1.0,0.0,0.0,0.0
2018-11-26,05308,2018,48,1,0.0,19,False,0.0,0.0,0.0,1.0
2018-11-26,05475,2018,48,1,0.0,13,False,0.0,0.0,0.0,1.0
2018-12-03,05001,2018,49,7,0.0,7,False,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857
2018-12-03,05088,2018,49,1,0.0,7,False,1.0,0.0,0.0,0.0
2018-12-03,05148,2018,49,1,0.0,14,False,1.0,0.0,0.0,0.0
2018-12-10,05001,2018,50,8,0.0,6,False,0.5,0.0,0.0,0.5
2018-12-10,05088,2018,50,1,0.0,13,False,1.0,0.0,0.0,0.0
2018-12-10,05353,2018,50,1,0.0,14,False,0.0,0.0,0.0,1.0
2018-12-17,05001,2018,51,7,0.0,9,False,0.5714285714285714,0.0,0.0,0.42857142857142855
2018-12-17,05360,2018,51,1,0.0,11,False,1.0,0.0,0.0,0.0
2018-12-17,05475,2018,51,1,0.0,11,False,0.0,0.0,0.0,1.0
2018-12-17,05604,2018,51,1,0.0,15,False,0.0,0.0,0.0,1.0
2018-12-24,05001,2018,52,5,0.0,6,False,0.6,0.0,0.0,0.4
2018-12-24,05034,2018,52,1,0.0,4,False,0.0,0.0,0.0,1.0
2018-12-24,05649,2018,52,1,0.0,5,False,1.0,0.0,0.0,0.0
2018-12-24,05887,2018,52,1,0.0,9,False,0.0,0.0,0.0,1.0
2018-12-31,05001,2019,1,7,0.0,8,False,0.8571428571428571,0.0,0.0,0.14285714285714285
2018-12-31,05088,2019,1,1,0.0,9,False,0.0,0.0,0.0,1.0
2018-12-31,05206,2019,1,1,0.0,9,False,0.0,1.0,0.0,0.0
2018-12-31,05360,2019,1,1,0.0,5,False,1.0,0.0,0.0,0.0
2018-12-31,05579,2019,1,1,0.0,12,False,0.0,0.0,0.0,1.0
2019-01-07,05001,2019,2,8,0.0,7,False,0.375,0.0,0.0,0.625
2019-01-07,05045,2019,2,1,0.0,3,False,0.0,0.0,0.0,1.0
2019-01-07,05088,2019,2,1,0.0,4,False,0.0,0.0,0.0,1.0
2019-01-07,05360,2019,2,1,0.0,12,False,1.0,0.0,0.0,0.0
2019-01-07,05664,2019,2,1,0.0,15,False,0.0,0.0,0.0,1.0
2019-01-14,05001,2019,3,7,0.0,8,False,0.5714285714285714,0.0,0.0,0.42857142857142855
2019-01-14,05079,2019,3,1,0.0,9,False,1.0,0.0,0.0,0.0
2019-01-14,05088,2019,3,1,0.0,9,False,1.0,0.0,0.0,0.0
2019-01-14,05172,2019,3,1,0.0,12,False,0.0,0.0,0.0,1.0
2019-01-14,05266,2019,3,1,0.0,7,False,0.0,0.0,0.0,1.0
2019-01-21,05001,2019,4,2,0.0,7,False,1.0,0.0,0.0,0.0
2019-01-21,05079,2019,4,1,0.0,8,False,1.0,0.0,0.0,0.0
2019-01-21,05615,2019,4,1,0.0,3,False,0.0,0.0,0.0,1.0
2019-01-28,05001,2019,5,5,0.0,8,False,0.2,0.2,0.0,0.6
2019-01-28,05088,2019,5,1,0.0,9,False,1.0,0.0,0.0,0.0
2019-01-28,05120,2019,5,1,0.0,3,False,0.0,0.0,0.0,1.0
2019-02-04,05001,2019,6,11,0.0,8,False,0.5454545454545454,0.0,0.09090909090909091,0.36363636363636365
2019-02-04,05088,2019,6,3,0.0,8,False,0.6666666666666666,0.0,0.0,0.3333333333333333
2019-02-04,05250,2019,6,1,0.0,3,False,0.0,0.0,0.0,1.0
2019-02-11,05001,2019,7,8,0.0,9,False,0.625,0.0,0.0,0.375
2019-02-11,05360,2019,7,1,0.0,4,False,1.0,0.0,0.0,0.0
2019-02-11,05697,2019,7,1,0.0,9,False,1.0,0.0,0.0,0.0
2019-02-18,05001,2019,8,4,0.0,6,False,0.75,0.0,0.25,0.0
2019-02-18,05088,2019,8,1,0.0,7,False,0.0,0.0,0.0,1.0
2019-02-18,05284,2019,8,1,0.0,13,False,0.0,0.0,0.0,1.0
2019-02-18,05697,2019,8,1,0.0,4,False,0.0,0.0,0.0,1.0
2019-02-25,05001,2019,9,8,0.0,5,False,0.375,0.0,0.125,0.5
2019-03-04,05001,2019,10,5,0.0,4,False,0.6,0.0,0.2,0.2
2019-03-04,05088,2019,10,1,0.0,7,False,1.0,0.0,0.0,0.0
2019-03-04,05266,2019,10,1,0.0,4,False,1.0,0.0,0.0,0.0
2019-03-04,05308,2019,10,1,0.0,9,False,0.0,0.0,0.0,1.0
2019-03-04,05792,2019,10,1,0.0,2,False,0.0,0.0,0.0,1.0
2019-03-11,05001,2019,11,11,0.0,6,False,0.7272727272727273,0.0,0.0,0.2727272727272727
