codigo_dane,anio,semana_epi,temperatura_avg,humedad_avg,precipitacion_sum,presion_avg,pm10_avg,pm25_avg,fuente_pm,metodo_imputacion
05001,2020,43,21.125,73.404,0.924,851.615,42.569,18.11,SISAIRE_DIRECTO,directo
05001,2020,44,21.113,74.768,4.684,851.786,38.163,16.651,SISAIRE_DIRECTO,directo
05001,2020,45,21.374,72.958,2.657,851.433,38.033,15.694,SISAIRE_DIRECTO,directo
05001,2020,46,20.276,77.396,0.732,852.359,39.002,16.551,SISAIRE_DIRECTO,directo
05001,2020,47,20.816,76.635,0.676,851.741,35.107,14.339,SISAIRE_DIRECTO,directo
05001,2020,48,21.476,73.745,0.175,851.238,41.043,16.371,SISAIRE_DIRECTO,directo
05001,2020,49,21.507,74.03,0.168,851.503,40.875,16.745,SISAIRE_DIRECTO,directo
05001,2020,50,21.877,71.284,0.104,851.936,42.359,17.755,SISAIRE_DIRECTO,directo
05001,2020,51,21.866,71.2,6.224,850.851,47.2,20.145,SISAIRE_DIRECTO,directo
05001,2020,52,21.162,74.574,41.654,850.993,36.743,16.33,SISAIRE_DIRECTO,directo
05001,2020,53,21.343,70.726,1.006,851.321,33.573,15.154,SISAIRE_DIRECTO,directo
05001,2021,1,20.798,72.596,4.157,851.444,35.389,13.939,SISAIRE_DIRECTO,directo
05001,2021,2,22.227,69.404,9.776,850.976,35.277,14.428,SISAIRE_DIRECTO,directo
05001,2021,3,22.061,66.243,3.492,850.587,45.022,18.636,SISAIRE_DIRECTO,directo
05001,2021,4,22.497,64.086,0.004,850.114,46.249,18.265,SISAIRE_DIRECTO,directo
05001,2021,5,23.398,62.156,1.098,850.525,40.057,17.113,SISAIRE_DIRECTO,directo
05001,2021,6,21.886,68.111,2.532,850.927,44.528,21.128,SISAIRE_DIRECTO,directo
05001,2021,7,21.082,70.154,0.768,852.497,42.658,21.041,SISAIRE_DIRECTO,directo
05001,2021,8,22.011,68.726,13.375,850.612,42.308,19.625,SISAIRE_DIRECTO,directo
05001,2021,9,21.064,72.81,51.03,850.892,52.466,26.126,SISAIRE_DIRECTO,directo
05001,2021,10,20.119,75.881,22.298,852.523,42.175,19.402,SISAIRE_DIRECTO,directo
05001,2021,11,19.773,80.122,121.614,851.947,41.14,19.789,SISAIRE_DIRECTO,directo
05001,2021,12,20.633,77.239,53.73,851.36,36.284,16.604,SISAIRE_DIRECTO,directo
05001,2021,13,21.969,72.295,14.651,849.634,30.521,14.046,SISAIRE_DIRECTO,directo
05001,2021,14,21.491,74.724,13.827,851.088,29.33,12.66,SISAIRE_DIRECTO,directo
05001,2021,15,22.434,68.592,9.414,850.788,34.412,14.516,SISAIRE_DIRECTO,directo
05001,2021,16,27.0,46.0,0.0,848.1,40.584,19.39,SISAIRE_DIRECTO,directo
05001,2021,17,22.6665,66.0,0.0,851.1165000000001,40.409,18.766,SISAIRE_DIRECTO,directo
