codigo_dane,anio,semana_epi,fecha_semana,casos_ira_total,tasa_ira_100k,pm25_avg,pm10_avg,temperatura_avg,humedad_avg,precipitacion_sum,presion_avg,fuente_pm,pm25_lag1,pm25_lag2,casos_ira_lag1,icv_score,nbi,ipm_pct,icv_hacinamiento,icv_menores_6,icv_seg_social,pct_vivienda_acueducto,icv_paredes,icv_pisos,edad_promedio,rezago_reporte_dias,pct_regimen_contributivo,pct_regimen_especial_excepcion,pct_regimen_otros,pct_regimen_subsidiado,periodo_pandemia,subregion,poblacion_total,ipt_score,nivel_riesgo
05001,2018,40,2018-10-01,5,0.206,22.423,37.614,19.598,78.122,179.2711199999998,851.591,IMPUTADO_PA,17.969,20.379,6.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.4,0.0,0.0,0.6,False,Valle de Aburrá,2427133.0,55.35,MEDIO
05001,2018,41,2018-10-08,6,0.2472,21.708,35.211,19.408,78.723,81.641,852.387,IMPUTADO_PA,22.423,17.969,5.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,7.0,0.8333333333333334,0.0,0.0,0.1666666666666666,False,Valle de Aburrá,2427133.0,57.01,MEDIO
05001,2018,42,2018-10-15,3,0.1236,18.24,37.121,19.419,78.549,107.757,851.268,IMPUTADO_PA,21.708,22.423,6.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,10.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,False,Valle de Aburrá,2427133.0,36.9,MEDIO
05001,2018,43,2018-10-22,7,0.2884,14.718,43.043,20.068,77.399,44.153,851.162,IMPUTADO_PA,18.24,21.708,3.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,3.0,0.5714285714285714,0.0,0.0,0.4285714285714285,False,Valle de Aburrá,2427133.0,24.68,BAJO
05001,2018,44,2018-10-29,3,0.1236,17.791,39.808,19.143,80.647,121.576,851.735,IMPUTADO_PA,14.718,18.24,7.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,8.0,0.3333333333333333,0.0,0.0,0.6666666666666666,False,Valle de Aburrá,2427133.0,35.5,MEDIO
05001,2018,45,2018-11-05,8,0.3296,21.81,42.767,19.776,79.479,36.817,850.704,IMPUTADO_PA,17.791,14.718,3.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,7.0,0.25,0.125,0.0,0.625,False,Valle de Aburrá,2427133.0,61.83,MEDIO
05001,2018,46,2018-11-12,5,0.206,22.591,39.052,20.521,78.102,43.536,850.834,IMPUTADO_PA,21.81,17.791,8.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,2.0,0.6,0.0,0.0,0.4,False,Valle de Aburrá,2427133.0,55.65,MEDIO
05001,2018,47,2018-11-19,8,0.3296,17.986,39.18,20.163,79.355,179.2711199999998,851.252,IMPUTADO_PA,22.591,21.81,5.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,7.0,0.875,0.0,0.0,0.125,False,Valle de Aburrá,2427133.0,53.37,MEDIO
05001,2018,48,2018-11-26,9,0.3708,12.639,29.859,19.569,80.197,38.901,851.671,IMPUTADO_PA,17.986,22.591,8.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,7.0,0.5555555555555556,0.0,0.1111111111111111,0.3333333333333333,False,Valle de Aburrá,2427133.0,28.3,BAJO
05001,2018,49,2018-12-03,7,0.2884,14.181,32.925,19.921,73.256,11.767,852.01,IMPUTADO_PA,12.639,17.986,9.0,71.1399707871351,6.40851332529118,6.03684213627426,2.24853070205861,1.74771551660494,3.01482017937117,98.6685460808805,7.42816034274497,8.13079868897787,0.0,7.0,0.1428571428571428,0.4285714285714285,0.1428571428571428,0.2857142857142857,False,Valle de Aburrá,2427133.0,23.4,BAJO
