codigo_dane,anio,poblacion_total
05847,2023,31559.0
05854,2023,14720.0
05856,2023,6667.0
05858,2023,12114.0
05861,2023,12222.0
05873,2023,10815.0
05885,2023,7729.0
05887,2023,41983.0
05890,2023,24454.0
05893,2023,21255.0
05895,2023,26283.0
05001,2024,2524747.0
05002,2024,21121.0
05004,2024,2810.0
05021,2024,5196.0
05030,2024,32595.0
05031,2024,28716.0
05034,2024,45212.0
05036,2024,6149.0
05038,2024,12413.0
05040,2024,20688.0
05042,2024,28130.0
05044,2024,7628.0
05045,2024,124423.0
05051,2024,31449.0
05055,2024,8170.0
05059,2024,5308.0
05079,2024,62506.0
05086,2024,6193.0
05088,2024,593344.0
05091,2024,10758.0
05093,2024,16861.0
05101,2024,27391.0
05107,2024,8023.0
05113,2024,10848.0
05120,2024,29159.0
05125,2024,9036.0
05129,2024,88316.0
05134,2024,9940.0
05138,2024,15570.0
05142,2024,4538.0
05145,2024,4556.0
05147,2024,50543.0
05148,2024,68325.0
05150,2024,3947.0
05154,2024,93572.0
05172,2024,56758.0
05190,2024,10040.0
05197,2024,16062.0
05206,2024,5108.0
05209,2024,22182.0
05212,2024,89546.0
05234,2024,24651.0
05237,2024,19689.0
05240,2024,12627.0
05250,2024,55742.0
05264,2024,12568.0
05266,2024,260430.0
05282,2024,26245.0
05284,2024,21716.0
05306,2024,6331.0
05308,2024,60604.0
05310,2024,10301.0
05313,2024,10463.0
05315,2024,6975.0
05318,2024,64068.0
05321,2024,9518.0
05347,2024,5126.0
05353,2024,5862.0
05360,2024,302075.0
05361,2024,29342.0
05364,2024,15350.0
05368,2024,14317.0
05376,2024,72033.0
05380,2024,81925.0
05390,2024,8554.0
05400,2024,23718.0
05411,2024,10817.0
05425,2024,8808.0
05440,2024,73095.0
05467,2024,6595.0
05475,2024,5769.0
05480,2024,13872.0
05483,2024,10906.0
05490,2024,42718.0
05495,2024,28955.0
05501,2024,3431.0
05541,2024,23491.0
05543,2024,8733.0
05576,2024,9040.0
05579,2024,39164.0
05585,2024,15465.0
05591,2024,20006.0
05604,2024,32457.0
05607,2024,26766.0
05615,2024,151872.0
05628,2024,9827.0
05631,2024,103765.0
05642,2024,18915.0
05647,2024,7406.0
05649,2024,16912.0
05652,2024,6013.0
05656,2024,17982.0
05658,2024,3963.0
05659,2024,20025.0
05660,2024,14242.0
05664,2024,22297.0
05665,2024,32352.0
05667,2024,17222.0
05670,2024,24238.0
05674,2024,24534.0
05679,2024,29171.0
05686,2024,39788.0
05690,2024,13434.0
05697,2024,39396.0
05736,2024,39116.0
05756,2024,36144.0
05761,2024,16366.0
05789,2024,16676.0
05790,2024,29027.0
05792,2024,6530.0
05809,2024,11449.0
05819,2024,4867.0
05837,2024,130019.0
05842,2024,7406.0
05847,2024,31776.0
05854,2024,14927.0
05856,2024,6683.0
05858,2024,12126.0
05861,2024,12343.0
05873,2024,11150.0
05885,2024,7746.0
05887,2024,41862.0
05890,2024,24828.0
05893,2024,21677.0
05895,2024,26532.0
05001,2025,2528343.0
05002,2025,21147.0
05004,2025,2807.0
05021,2025,5285.0
05030,2025,32858.0
05031,2025,29054.0
05034,2025,45367.0
05036,2025,6203.0
05038,2025,12511.0
05040,2025,21035.0
05042,2025,28421.0
05044,2025,7681.0
05045,2025,125203.0
05051,2025,31707.0
05055,2025,8215.0
05059,2025,5310.0
05079,2025,63455.0
05086,2025,6151.0
05088,2025,601916.0
05091,2025,10751.0
05093,2025,16980.0
05101,2025,27573.0
05107,2025,7957.0
05113,2025,11015.0
05120,2025,29067.0
05125,2025,9107.0
05129,2025,89072.0
05134,2025,10005.0
05138,2025,15470.0
05142,2025,4510.0
05145,2025,4499.0
05147,2025,50952.0
05148,2025,69588.0
05150,2025,3942.0
05154,2025,93843.0
05172,2025,56738.0
