codigo_dane,anio,semana_epi,fecha_semana,nivel_alerta,prediccion_casos_t1,desviacion_prediccion_pct,variable_causal,media_hist_mun_sem,shap_max_value
05001,2019,12,2019-03-18,ALERTA_VERDE,9.07,29.57,casos_ira_lag1,7.0,3.4661765098571777
05001,2019,13,2019-03-25,ALERTA_NARANJA,7.02,40.4,casos_ira_lag1,5.0,1.8587771654129028
05001,2019,14,2019-04-01,ALERTA_NARANJA,9.75,32.95,casos_ira_lag1,7.333333333333333,3.4951038360595703
05001,2019,15,2019-04-08,ALERTA_VERDE,8.65,8.12,casos_ira_total,8.0,2.0631299018859863
05001,2019,16,2019-04-15,ALERTA_VERDE,7.25,20.83,casos_ira_lag1,6.0,3.363348960876465
05001,2019,17,2019-04-22,ALERTA_ROJA,9.25,98.21,casos_ira_lag1,4.666666666666667,3.332545280456543
05001,2019,18,2019-04-29,ALERTA_ROJA,10.26,119.86,casos_ira_total,4.666666666666667,2.2901463508605957
05001,2019,19,2019-05-06,ALERTA_ROJA,10.94,64.1,casos_ira_lag1,6.666666666666667,3.345660448074341
05001,2019,20,2019-05-13,ALERTA_VERDE,10.26,14.0,casos_ira_lag1,9.0,2.9850730895996094
05001,2019,21,2019-05-20,ALERTA_ROJA,11.7,134.0,casos_ira_lag1,5.0,3.741288185119629
05001,2019,22,2019-05-27,ALERTA_VERDE,9.01,8.12,casos_ira_lag1,8.333333333333334,3.1753270626068115
05001,2019,23,2019-06-03,ALERTA_NARANJA,8.17,44.18,casos_ira_lag1,5.666666666666667,3.5254781246185303
05001,2019,24,2019-06-10,ALERTA_VERDE,8.49,21.29,casos_ira_lag1,7.0,1.8685743808746338
05001,2019,25,2019-06-17,ALERTA_VERDE,7.17,7.55,casos_ira_lag1,6.666666666666667,1.7545623779296875
05001,2019,26,2019-06-24,ALERTA_VERDE,7.87,-1.63,casos_ira_lag1,8.0,3.1271443367004395
05001,2019,27,2019-07-01,ALERTA_VERDE,7.23,-5.7,casos_ira_lag1,7.666666666666667,1.9215724468231201
05001,2019,28,2019-07-08,ALERTA_VERDE,9.8,1.38,media_hist_mun_sem,9.666666666666666,2.5821263790130615
05001,2019,29,2019-07-15,ALERTA_VERDE,7.7,-3.75,casos_ira_lag1,8.0,1.9530247449874878
05001,2019,30,2019-07-22,ALERTA_VERDE,5.75,-9.21,casos_ira_lag1,6.333333333333333,3.413910388946533
05001,2019,31,2019-07-29,ALERTA_ROJA,5.2,73.33,casos_ira_lag1,3.0,2.0046563148498535
05001,2019,32,2019-08-05,ALERTA_VERDE,2.27,-57.44,casos_ira_total,5.333333333333333,1.3402514457702637
